,,type,temperature,flag,ref_num
Fe70Gd10Cr8B12,1190,Curie,405.0,False,1
LixCsSr2Nb3O10,1191,Curie,5.0,False,2
NdAs,1192,Néel,12.0,False,2
NiMnIn,1193,Curie,240.0,False,1
K2LaNb5O15,1194,Curie,180.0,False,2
CoFeMnO4,1195,Curie,473.0,False,1
Pr2CuGa12,1196,Néel,8.0,False,2
DyCu2Si2,1197,Néel,9.0,False,2
CeNi2Al5,1198,Néel,2.0,False,1
KNNMx,1199,Curie,693.0,False,1
Gd60Co26Al14,1200,Curie,79.0,False,2
Ba2REMoO6,1201,Curie,30.0,False,2
HfN,1202,Curie,8.0,False,1
Tm3Co,1203,Curie,5.666666666666667,False,3
PrFe11Ti,1204,Curie,275.5,False,4
ErNi4B,1205,Curie,10.0,False,1
HoS,1206,Néel,20.0,False,2
ErFe5Al7,1207,Curie,201.0,False,1
Bi2Sr2Ca2Cu3O10,1208,Curie,109.0,False,2
ErFe7Mn5,1209,Curie,160.0,False,2
Ce2CoGe3,1210,Curie,10.0,False,3
Ni3TeO6,1211,Néel,52.0,False,2
CuSeO3,1212,Curie,26.0,False,2
Ni52Fe20Ga26Co2,1213,Curie,360.0,False,1
ErAgSn,1214,Néel,5.0,False,2
BLHs2,1215,Curie,3.0,False,1
187Re,1216,Curie,1.0,False,1
MnFeGe,1217,Curie,193.5,False,4
CeFe11Ti,1218,Curie,475.0,False,2
LnIrPnO,1219,Néel,7.0,False,1
GdRu4P12,1220,Néel,22.0,False,1
ErVO4,1221,Néel,1.0,False,1
Ni50Mn34In16,1222,Curie,297.75,False,4
Sm5Ge4,1223,Néel,21.0,False,1
Nd2Fe17C,1224,Curie,454.0,False,2
Fe2Nb,1225,Néel,23.5,False,2
Pb2Sr2DyCu3O8,1226,Néel,1.0,False,1
SmGdFe17,1227,Curie,553.0,False,2
Pd2MnSn,1228,Curie,190.0,False,3
LaSrCoRuO6,1229,Néel,86.0,False,2
Nd3Co29Ge4B10,1230,Curie,195.0,False,1
PbVO3,1231,Néel,226.57142857142858,False,7
Coprecipitation,1232,Curie,579.3333333333334,False,3
Fluorine,1233,Curie,0.0,False,1
Rh2MnSn,1234,Curie,412.0,False,2
Tungsten,1235,Curie,418.0,False,1
UIrAl,1236,Curie,62.666666666666664,False,3
Gd5CoSi2,1237,Curie,218.8,False,5
Ce20,1238,Curie,64.0,False,1
CaMn2Sb2,1239,Néel,129.33333333333334,False,3
Ni42Co8Mn39Sn11,1240,Curie,403.0,False,1
Zr24h,1241,Curie,297.0,False,1
MnO3,1242,Curie,218.9,False,10
RESi,1243,Curie,54.0,False,2
NaCl,1244,Curie,271.2,False,5
FeIII,1245,Curie,17.0,False,2
Gd2CoAl3,1246,Curie,70.0,False,1
A10Cu17O29,1247,Curie,10.0,False,1
Gd1,1248,Curie,391.0,False,4
Magnetite,1249,Curie,844.75,False,8
Ba1,1250,Curie,377.0,False,2
LiNiPO4,1251,Néel,24.4,False,5
HgCr2S4,1252,Curie,22.0,False,2
Fe75Cu1Mn2Si13B9,1253,Curie,647.0,False,1
CuMnSb,1254,Néel,47.75,False,4
Ca2Fe2O5,1255,Néel,725.0,False,2
Fe73Nb7B20,1256,Curie,209.5,False,2
Fe72Ni28,1257,Curie,333.0,False,1
Mn15,1258,Curie,366.0,False,1
Ca2CrOsO6,1259,Curie,575.0,False,4
Ca2InOsO6,1260,Néel,14.0,False,1
ZnxDyyCrzSe4,1261,Néel,22.0,False,2
DyAlGa,1262,Néel,50.0,False,1
Mn22,1263,Curie,352.0,False,1
Sm2MnTiO6,1264,Néel,20.0,False,2
NiCrFeO4,1265,Curie,557.0,False,1
Gd4NiMg,1266,Néel,92.0,False,3
Nd2Pd2In,1267,Néel,8.0,False,1
Gd90Mn10,1268,Curie,282.75,False,4
Nd10Fe85B5,1269,Curie,1.0,False,2
Lu(Co1,1270,Curie,130.0,False,1
Cr2Te3,1271,Curie,180.0,False,1
La1,1272,Curie,313.3333333333333,False,3
Fe79P7B11Nb3,1273,Curie,522.0,False,1
Sr2ZrMnO6,1274,Néel,53.0,False,1
Fluorides,1275,Curie,495.0,False,1
TbPtGe2,1276,Néel,24.0,False,3
Fe73Pt5B10Si12,1277,Curie,723.0,False,1
Cu2FeSnSe4,1278,Néel,19.0,False,1
Bilayer,1279,Curie,3.0,False,1
BaDy2O4,1280,Néel,7.5,False,4
ErCu2,1281,Néel,11.0,False,4
FeMnNiCr,1282,Néel,252.0,False,2
GdPtGa,1283,Néel,23.0,False,3
HoPtGe2,1284,Néel,6.4,False,5
LiEuSb,1285,Curie,6.0,False,1
Ni45Gd40Al15,1286,Curie,57.0,False,1
Sm2Fe14B,1287,Curie,614.0,False,2
DyZrSb,1288,Curie,23.5,False,10
REPdZn,1289,Curie,24.5,False,2
GdMn6Sn6,1290,Curie,436.6666666666667,False,3
YFe6Sn6,1291,Néel,585.0,False,2
Ba24Si100,1292,Curie,1.0,False,1
HoRhSi,1293,Néel,8.0,False,3
DyFe2,1294,Curie,421.6666666666667,False,3
Al,1295,Curie,460.14285714285717,False,70
Ca3FeRhO6,1296,Néel,11.0,False,1
Ce2Li2Si3,1297,Curie,17.0,False,1
ErFe8Mn4H,1298,Curie,190.0,False,2
Fe85Si9Cr6,1299,Curie,964.0,False,1
Co10,1300,Curie,240.0,False,2
TlNiO3,1301,Néel,121.66666666666667,False,9
CeIrSi3,1302,Néel,5.0,False,3
TiO,1303,Curie,300.0,False,1
Gd60Al20Co20,1304,Curie,109.0,False,3
MnAl2O4,1305,Néel,42.0,False,2
Y2BaCuO5,1306,Néel,13.0,False,2
CeCuAl3,1307,Néel,2.0,False,1
SrCr8Ga4O19,1308,Curie,3.0,False,1
PuNi3,1309,Curie,384.0,False,2
UIrSn,1310,Curie,21.0,False,2
LuCu3Mn4O12,1311,Curie,376.5,False,2
Gd53Co47,1312,Curie,241.0,False,1
Ca2TiMnO6,1313,Curie,69.0,False,1
Gd20Hf35Co25Al20,1314,Curie,97.0,False,1
Er3Mn3GeGa2,1315,Néel,170.0,False,2
Er8Ho4Co7,1316,Curie,15.0,False,1
PrRu4Sb12,1317,Curie,1.0,False,1
Nd2Fe17Ny,1318,Curie,743.0,False,1
SmCo4Ag1,1319,Curie,925.0,False,1
Ni81Cr11Fe8,1320,Curie,265.0,False,2
Ponnambalam,1321,Curie,55.0,False,1
Au,1322,Curie,375.8,False,10
Ni3Al,1323,Curie,109.33333333333333,False,24
TbAg2Si2,1324,Néel,14.5,False,6
Ho6Ta4Al43,1325,Néel,4.0,False,3
Na2FeP2O7,1326,Néel,3.0,False,1
Vm,1327,Curie,848.0,False,1
DyNi,1328,Curie,59.0,False,3
UNiGa5,1329,Néel,86.0,False,2
Co2O3,1330,Curie,1157.75,False,4
Fe62Mn18P10B7C3,1331,Curie,222.0,False,2
YbRhGe,1332,Néel,6.5,False,4
Fe80P13C7,1333,Curie,585.6666666666666,False,3
SmFe11Ti,1334,Curie,590.75,False,4
ZnNNi3,1335,Curie,3.0,False,1
Co0,1336,Curie,336.5,False,2
PuPt,1337,Néel,44.0,False,1
BaAlFe11O19,1338,Curie,758.0,False,1
Mn2CoAl,1339,Curie,720.0,False,1
LiEuAs,1340,Curie,9.0,False,1
GdCd,1341,Curie,148.66666666666666,False,3
Pillistfer,1342,Curie,156.0,False,3
TbRhGa,1343,Néel,21.0,False,3
CoO2,1344,Néel,200.0,False,1
Ni30,1345,Curie,205.0,False,2
YCo3Hx,1346,Curie,225.0,False,4
Spinel,1347,Curie,387.6666666666667,False,6
ND4MnF3,1348,Néel,75.0,False,2
GdZn2Ga2,1349,Néel,13.75,False,8
Fe77P13B7Nb2Cr1,1350,Curie,536.0,False,1
Fe80Nb6B14,1351,Curie,390.0,False,1
Eu11Cd6Sb12,1352,Néel,7.0,False,1
Ni47Mn31Ga19Cu3,1353,Curie,366.0,False,1
CeRhAl,1354,Curie,24.0,False,2
Strontium,1355,Curie,88.0,False,6
Sb2O3,1356,Curie,299.0,False,1
REVGe3,1357,Curie,78.0,False,2
GdMnGe,1358,Néel,272.625,False,8
Fe80Mn10Zr10,1359,Curie,169.0,False,1
Nd2BaPdO5,1360,Néel,2.0,False,2
ILs,1361,Curie,583.0,False,1
Ho3Ni,1362,Curie,20.0,False,2
Pb5Ta10O30,1363,Curie,535.0,False,1
Fe76Cr2Si8B14,1364,Curie,650.0,False,1
Fullerene,1365,Curie,18.0,False,2
CePt4B,1366,Curie,37.0,False,2
CeMgGa,1367,Néel,3.0,False,1
ThSi2,1368,Curie,121.0,False,1
NiCuMnSb,1369,Curie,716.0,False,1
GdNi4Si,1370,Curie,24.666666666666668,False,6
TmMgSn,1371,Néel,3.857142857142857,False,7
Ni52Mn23Ga25,1372,Curie,247.0,False,2
Gd4Y3Pd3,1373,Curie,240.0,False,3
Annealed,1374,Curie,717.25,False,4
Zn,1375,Curie,269.13793103448273,False,29
CePd2Si2,1376,Néel,9.75,False,4
YFe3,1377,Curie,569.0,False,1
YBaCuFeO5,1378,Néel,440.0,False,1
NdNiSb2,1379,Néel,2.0,False,3
Nd2NiGa12,1380,Néel,17.0,False,2
Fe74Al4P12Ga2B4Si4,1381,Curie,628.0,False,1
HoFe4Ge2,1382,Néel,43.0,False,5
Sm2CuGa12,1383,Néel,7.0,False,2
Gr20Sps80,1384,Néel,4.0,False,1
TbRhSn,1385,Néel,16.25,False,4
Dy3Co29Ge4B10,1386,Curie,218.0,False,1
YbNi,1387,Curie,1.5,False,4
KFe2As2,1388,Curie,3.0,False,1
dNiO,1389,Néel,523.0,False,1
PbZrNb2O8,1390,Curie,562.5,False,2
Ba3MnSb2O9,1391,Néel,10.0,False,1
Gd5Ir2Bi,1392,Curie,119.0,False,1
Fe3W3N,1393,Curie,110.0,False,2
Er6MnBi2,1394,Curie,117.0,False,2
ErAl,1395,Néel,9.0,False,1
Sr2Mn2O5,1396,Néel,317.5,False,4
Cu84Co16,1397,Néel,1392.0,False,1
SrLaFeO4,1398,Néel,330.0,False,1
Fe77B16Si5Zr2,1399,Curie,619.0,False,1
CoCo,1400,Curie,426.0,False,1
In,1401,Curie,0.0,False,1
RIn3,1402,Néel,6.0,False,2
Fe78Mn12Zr10,1403,Curie,154.0,False,1
LuFe11TiH,1404,Curie,542.8333333333334,False,6
PrOFeAs,1405,Néel,104.22222222222223,False,9
Gd55Al5Fe40,1406,Curie,222.0,False,1
EuB6,1407,Curie,13.4,False,5
GdBiGe,1408,Néel,23.0,False,3
Tzarigradsko,1409,Curie,332.0,False,1
MnO2,1410,Curie,426.6511627906977,False,43
Dy3Pd20Si6,1411,Néel,3.0,False,2
TbFe5Al7,1412,Curie,242.0,False,2
Nd12Fe82B6,1413,Curie,583.0,False,1
SrMn2V2O8,1414,Néel,43.0,False,2
Ba2CeIrO6,1415,Néel,17.0,False,1
CuFeO,1416,Néel,221.25,False,4
SmFe11TiH,1417,Curie,636.6666666666666,False,3
Sr2FeO4,1418,Néel,60.0,False,1
MnAl,1419,Curie,396.6666666666667,False,3
UPdGe,1420,Curie,33.0,False,1
AlFe2B2,1421,Curie,299.0,False,3
Anhydrate,1422,Curie,3.0,False,1
Fe16Ni64B19Si1,1423,Curie,177.0,False,2
PMePh2,1424,Curie,281.0,False,2
Ce5Ge4,1425,Curie,16.0,False,2
CeAuSb2,1426,Néel,5.0,False,3
Ce2NiSi3,1427,Néel,3.3333333333333335,False,6
Gd3Ni8Sn4,1428,Néel,3.0,False,2
Ba2SmRuO6,1429,Néel,54.0,False,1
Yb7Co4InGe12,1430,Néel,3.0,False,2
Dy11Ge8In2,1431,Curie,76.0,False,2
Dy3Ga5O12,1432,Néel,0.0,False,2
LiEuBi,1433,Curie,7.0,False,1
Charcoal,1434,Curie,923.0,False,1
Al86Gd6Co8,1435,Néel,136.5,False,4
SrZrO3,1436,Curie,517.0,False,1
AlFe,1437,Curie,340.0,False,1
PrNiSb3,1438,Néel,4.0,False,3
NaSr2Nb5O15,1439,Curie,546.0,False,1
NpPt,1440,Néel,27.0,False,1
TbFe,1441,Curie,403.0,False,1
Arsenates,1442,Néel,54.0,False,1
DyFe11TiH,1443,Curie,577.6666666666666,False,3
Fe75Gd5Cr8B12,1444,Curie,400.0,False,2
MoCuT,1445,Curie,38.0,False,2
Sm2LiOsO6,1446,Néel,32.0,False,1
CePd5Ge3,1447,Néel,1.0,False,2
Gd2In,1448,Curie,192.66666666666666,False,9
Fe86Zr9B5,1449,Curie,327.0,False,2
LuNiO3,1450,Néel,130.0,False,3
Pb2MReO6,1451,Néel,37.0,False,2
DyFe5Al7,1452,Curie,231.0,False,2
Goethite,1453,Néel,383.75,False,12
Tm6W4Al43,1454,Néel,2.0,False,3
PuPdSn,1455,Néel,21.0,False,3
CaB6,1456,Curie,413.0,False,3
Ni45Co5Mn37Sn13,1457,Curie,350.0,False,2
Fe62Cr6Tb5B23Nb4,1458,Curie,320.0,False,1
GdFe4Al8,1459,Néel,62.0,False,3
Gd4Co3,1460,Curie,209.66666666666666,False,6
Nd6Fe9Al5,1461,Néel,77.5,False,2
FeNbO4,1462,Néel,149.0,False,2
KOs2O6,1463,Curie,9.0,False,2
LaONiP,1464,Curie,3.0,False,1
Or2,1465,Curie,233.0,False,1
LaMnGe,1466,Néel,420.0,False,3
DyNi4Si,1467,Curie,17.6,False,5
Co40Fe45Ni15,1468,Curie,1100.0,False,2
Manganites,1469,Curie,913.0,False,1
Ni33Fe17Mn30Ga20,1470,Curie,352.0,False,1
SrBiMnTiO6,1471,Curie,25.0,False,1
Mn42Al42Fe16,1472,Curie,3.0,False,1
Dy6Pb2Se11,1473,Néel,2.0,False,3
Nd2CuO4,1474,Curie,82.25,False,4
Er2Ho10Co7,1475,Curie,26.0,False,1
HoB2,1476,Curie,17.5,False,4
NdTbFe13Al4,1477,Curie,475.0,False,1
La2C2I2,1478,Curie,1.0,False,2
Gd3In,1479,Curie,213.0,False,1
NdAlO3,1480,Néel,4.0,False,1
Sr4Ru3O10,1481,Curie,53.0,False,2
TeNiO3,1482,Néel,130.0,False,1
SrNi2As2,1483,Curie,0.0,False,1
Gd5Sn3,1484,Néel,60.0,False,2
Unsealed,1485,Curie,368.0,False,1
Ho2Fe15Cr2,1486,Curie,402.0,False,1
Ce5Pb3O,1487,Curie,46.0,False,3
Fe83Zr9B8,1488,Curie,365.0,False,2
Dy6Nb4Al43,1489,Néel,4.0,False,6
HfO2,1490,Curie,603.0,False,3
Vanadium,1491,Néel,3.0,False,1
NaxHfNCl,1492,Curie,23.0,False,4
TbNiAl,1493,Néel,42.0,False,10
Ba5LaTi3V7O30,1494,Curie,408.0,False,2
SmNi3MnB,1495,Curie,210.0,False,1
"La0,7Ca0,3MnO3",1496,Curie,250.0,False,1
Gd5SiSb3,1497,Curie,295.0,False,2
Nd7Rh3,1498,Néel,33.0,False,4
Tb3Co8Sn4,1499,Curie,91.0,False,3
MnCo2O4,1500,Curie,186.16666666666666,False,6
EuGa2Sb2,1501,Néel,6.0,False,4
Tsuzuki,1502,Curie,483.0,False,1
PrFe11TiH,1503,Curie,305.0,False,4
InGaAs,1504,Curie,43.333333333333336,False,3
Tb12Co7,1505,Curie,143.0,False,6
Planum,1506,Curie,593.0,False,1
NiCo2O4,1507,Curie,673.0,False,1
Tb11B44Si2,1508,Néel,16.0,False,1
Gd55Co35Mn10,1509,Curie,197.0,False,1
Pt2MnGa,1510,Curie,176.0,False,1
Mn2CuAl,1511,Curie,639.0,False,2
Th,1512,Curie,229.75,False,4
Er5Si4,1513,Curie,30.0,False,2
Fe75Al5P11B4C5,1514,Curie,608.0,False,1
Gd55Ni25Al20,1515,Curie,79.0,False,2
CaFeSi2O6,1516,Néel,24.666666666666668,False,9
GdCo4B,1517,Curie,515.0,False,2
Co2Te3O8,1518,Néel,70.0,False,1
A95Nb4Zr1,1519,Curie,658.0,False,1
Co4Nb2O9,1520,Néel,27.0,False,1
ErPtSi,1521,Néel,4.0,False,2
Nd2LiOsO6,1522,Néel,23.0,False,1
Sn1,1523,Curie,275.0,False,3
Na10Al14,1524,Curie,810.0,False,1
CoFeMnSb,1525,Curie,1.0,False,1
Ru1212,1526,Curie,55.0,False,1
Pb2FeReO6,1527,Curie,420.0,False,2
Ni50Mn36Sn14,1528,Curie,321.0,False,2
Ni2MnIn,1529,Curie,337.4,False,5
ZnMnO,1530,Curie,171.5,False,4
Os,1531,Curie,86.75,False,4
FeIn2S4,1532,Néel,15.0,False,1
Ni5,1533,Curie,58.0,False,1
Gd12Co7,1534,Curie,205.83333333333334,False,6
CdTe,1535,Néel,297.0,False,4
X42Cr13,1536,Curie,995.0,False,1
ErCuSi,1537,Néel,9.333333333333334,False,3
Y2Fe17H3,1538,Curie,490.0,False,1
CuCr2S4,1539,Curie,295.25,False,4
Gd7Pd3,1540,Curie,325.07142857142856,False,14
SSNNx,1541,Curie,300.0,False,1
NdCrO,1542,Néel,219.0,False,2
LiNO,1543,Néel,25.0,False,1
GdCo11Ti,1544,Curie,1080.0,False,2
Nd2O3,1545,Curie,313.75,False,4
La2TiO5,1546,Curie,1027.0,False,2
C14H12N4NiS2,1547,Néel,5.0,False,1
"1,250",1548,Curie,388.0,False,1
NdZn2Ga2,1549,Néel,3.0,False,2
Sm2Co3Al9,1550,Néel,6.0,False,2
Gr15Sps85,1551,Néel,5.0,False,1
Al86Gd6Cr8,1552,Néel,136.5,False,4
Ho5Ge4,1553,Curie,21.5,False,2
Ce3Ni2Ge7,1554,Néel,7.0,False,3
Sm2Fe17N3,1555,Curie,729.0,False,4
NiAs2O4,1556,Néel,65.33333333333333,False,12
ErPtGe2,1557,Néel,3.2857142857142856,False,14
Cs,1558,Curie,111.0,False,5
AuMnSb,1559,Curie,135.0,False,1
Sr2FeReO6,1560,Curie,410.6666666666667,False,21
DyTiSi,1561,Néel,87.5,False,6
TbNi2,1562,Curie,32.42857142857143,False,7
TbAuIn,1563,Néel,41.27272727272727,False,11
Fe3,1564,Curie,583.0,False,1
LiVO2,1565,Curie,470.0,False,2
ZnV2O4,1566,Néel,40.0,False,2
TmTiGe,1567,Néel,10.0,False,6
U2Ni2SnH2,1568,Néel,87.0,False,2
TmTiSi,1569,Néel,12.5,False,6
Y3Fe72B22Ti3,1570,Curie,545.0,False,1
CrBe12,1571,Curie,50.0,False,1
BiMnO3,1572,Curie,134.03030303030303,False,33
C21H9D5N5PtS4,1573,Curie,320.0,False,1
CuFe2O4,1574,Curie,750.4444444444445,False,9
TbTiGe,1575,Néel,184.0,False,11
NaPbPO4,1576,Curie,1063.0,False,1
Fcc,1577,Curie,0.0,False,1
MnSe,1578,Néel,165.25,False,4
ErIr2Si2,1579,Néel,8.0,False,1
Mn65Ga35,1580,Curie,704.0,False,1
PuGa2,1581,Curie,84.66666666666667,False,6
Pr6Fe9Al5,1582,Néel,115.0,False,2
Fe2CoSi,1583,Curie,1026.75,False,4
Sm12Fe14Al5,1584,Curie,245.0,False,3
Dhcp,1585,Curie,0.0,False,1
FeX,1586,Curie,4.0,False,1
PbTa2O6,1587,Curie,283.0,False,1
UCoAl,1588,Curie,51.0,False,2
Gd2PtAl6Si4,1589,Néel,10.5,False,4
Er6Ni2Sn,1590,Néel,29.0,False,3
ThCr2Si2,1591,Néel,562.9,False,10
Sr2HoRuO6,1592,Néel,36.0,False,1
FeNiB,1593,Curie,583.75,False,4
Fe80Cr4B10Zr5Gd1,1594,Curie,360.0,False,1
SrCoO3,1595,Curie,334.3333333333333,False,12
Pb2NiReO6,1596,Curie,68.5,False,2
PrCo5,1597,Curie,908.2,False,5
EuPdGe,1598,Néel,8.0,False,3
SmCrO3,1599,Néel,192.66666666666666,False,3
CuMn2O4,1600,Curie,38.666666666666664,False,3
Nd6Fe13Si,1601,Néel,432.5,False,2
Sr2FeSbO6,1602,Néel,37.0,False,2
RCu9Sn4,1603,Néel,2.0,False,3
TbCoC2,1604,Curie,28.0,False,3
SmNi4Si,1605,Curie,14.0,False,3
PdS,1606,Curie,6.0,False,1
Sm12Ni6Sn,1607,Curie,50.0,False,1
Gd55Co20Fe5Al20,1608,Curie,130.0,False,1
1,1609,Curie,977.3333333333334,False,3
LuFe10Si2,1610,Curie,540.0,False,1
Co2U,1611,Curie,707.0,False,1
Value,1612,Curie,265.0,False,1
"1,450",1613,Curie,346.0,False,1
Hcp,1614,Curie,0.0,False,1
La3Ni4Si4,1615,Curie,1.0,False,1
Pz35,1616,Curie,773.0,False,1
BaSnO3,1617,Curie,304.0,False,1
Fe65Mn15P10B7C3,1618,Curie,292.0,False,2
RFeMn,1619,Curie,220.0,False,1
TlBa2Ca2Cu3Oy,1620,Curie,129.6,False,5
YNiO3,1621,Néel,145.0,False,2
Tb3Al2,1622,Curie,190.0,False,1
HoPO4,1623,Curie,1.0,False,1
CeRhGe,1624,Néel,9.0,False,2
LaCo3,1625,Curie,711.0,False,1
Hn,1626,Curie,232.0,False,1
H2hfipbb,1627,Curie,5.0,False,4
Gd4Sb3,1628,Curie,259.5,False,2
LaN,1629,Curie,58.0,False,1
ErFeAl,1630,Curie,55.0,False,2
Ni2Mn,1631,Curie,14.0,False,2
ScGe2,1632,Curie,1.0,False,1
Alm100,1633,Néel,9.0,False,1
Ba2MnReO6,1634,Curie,120.0,False,1
Ni52Mn25Ga23,1635,Curie,347.5,False,4
TbCu4Pd,1636,Curie,76.0,False,3
Fe61Co8Zr8Mo5W1B17,1637,Curie,363.0,False,2
CrMoO4,1638,Néel,100.0,False,3
FeSn,1639,Néel,368.0,False,3
3FeS,1640,Curie,623.0,False,2
HoAgSb2,1641,Néel,2.0,False,2
Al86Gd6Mo8,1642,Néel,136.5,False,4
GdFe,1643,Néel,10.0,False,1
Tcs,1644,Curie,112.92,False,25
FeF3,1645,Néel,130.0,False,4
SmNi3MnSi,1646,Curie,125.0,False,1
LiBa2Ta5O15,1647,Curie,473.0,False,3
SrCl2,1648,Curie,1000.0,False,1
NdCu9Sn4,1649,Néel,11.0,False,3
CsOs2O6,1650,Curie,3.0,False,1
TlNiF3,1651,Curie,129.0,False,3
La2Co2I,1652,Curie,14.0,False,1
CaBaFe4O7,1653,Curie,165.0,False,2
HoRh,1654,Curie,3.0,False,1
Ce3Al11,1655,Curie,6.0,False,1
MnGa,1656,Curie,595.0,False,3
CoGa2O4,1657,Néel,10.0,False,2
TbIrGe2,1658,Néel,10.0,False,3
CaCO3,1659,Néel,120.0,False,1
DySn2,1660,Néel,17.8,False,5
Gd80Mn20,1661,Curie,278.6666666666667,False,3
CuB2O4,1662,Néel,21.0,False,1
Nb3Ge,1663,Curie,23.0,False,6
DyCo2B2,1664,Curie,11.0,False,1
Sm2Pd2Mg,1665,Curie,36.0,False,2
LaSrCoO4,1666,Néel,380.0,False,1
Fe76Mo2Si8B14,1667,Curie,663.0,False,1
Co2MnSb,1668,Curie,600.0,False,1
Ni50Mn27Ga23,1669,Curie,373.0,False,1
PrAl2,1670,Curie,34.0,False,2
Fe74Cu1Cr3Si13B9,1671,Curie,588.0,False,3
ErMn5FeSn6,1672,Néel,470.0,False,1
ScFe6Ge6,1673,Néel,473.0,False,2
LuFe5Al7,1674,Néel,140.0,False,4
NaBa2Nb5O15,1675,Curie,313.0,False,1
EuFe2As2,1676,Curie,26.0,False,3
CoxTiS2,1677,Curie,130.0,False,2
Ce3CoGe2,1678,Curie,7.571428571428571,False,7
TbCo,1679,Curie,488.0,False,2
La214,1680,Néel,270.0,False,2
CoPt,1681,Curie,640.4444444444445,False,9
PuCoGa5,1682,Curie,20.636363636363637,False,11
ZnSe,1683,Curie,44.666666666666664,False,3
Cu5,1684,Néel,97.44444444444444,False,9
Sm2O3,1685,Curie,593.0,False,1
ZrFe10Si2,1686,Curie,581.0,False,2
BiMn2O5,1687,Néel,44.888888888888886,False,9
TbCrO3,1688,Néel,158.0,False,2
Ge8Mn11,1689,Curie,271.3333333333333,False,3
Fe77P11B7Nb2Cr1,1690,Curie,536.0,False,1
Sr2FeRuO6,1691,Curie,87.0,False,1
Er,1692,Néel,73.68,False,100
Pr2Fe17,1693,Curie,286.0,False,1
CeTGS,1694,Curie,317.0,False,2
TmPdIn,1695,Néel,2.25,False,8
Co7Sb2O12,1696,Curie,60.0,False,1
Bz,1697,Curie,1.0,False,2
Ni38Fe12Mn31Ga19,1698,Curie,343.0,False,1
NbFe2,1699,Néel,15.5,False,6
Gd2Fe17Ny,1700,Curie,783.0,False,1
CuAl2,1701,Curie,1015.0,False,1
Fe78B13Si9,1702,Curie,714.0,False,1
LiCe,1703,Curie,1050.3333333333333,False,3
FeBO,1704,Néel,348.0,False,1
Ce2Co17,1705,Curie,899.0,False,2
Mn2GeO4,1706,Néel,10.0,False,1
LaBaCo2O6,1707,Curie,175.0,False,2
Tb6W4Al43,1708,Néel,5.5,False,6
Sr2CoRuO6,1709,Curie,163.33333333333334,False,3
GdFe11Re,1710,Curie,518.0,False,1
kOe,1711,Curie,324.0,False,2
Bi8Ti3Fe4O24,1712,Néel,220.0,False,2
Cu3TeO6,1713,Néel,60.0,False,2
Fe2MnAl,1714,Curie,150.0,False,2
HfFe2,1715,Curie,600.0,False,4
CeRuSi,1716,Néel,5.666666666666667,False,9
Fe85Zr9B6,1717,Curie,333.0,False,2
LaNiAsO,1718,Curie,2.0,False,3
Sr11Re4O24,1719,Curie,12.0,False,1
FeSe,1720,Curie,100.66666666666667,False,18
Fe75Co2,1721,Curie,415.0,False,1
EuCd2Sb2,1722,Néel,7.0,False,3
Nd3NbO7,1723,Néel,1.0,False,4
LuNi2B2C,1724,Curie,16.0,False,3
Sr2DyReO6,1725,Néel,49.0,False,2
YbCu3Al2,1726,Néel,2.0,False,1
Fe50Rh50,1727,Curie,650.0,False,1
CeY2Ni9H8,1728,Curie,77.0,False,1
LiCoO2,1729,Néel,30.0,False,3
LnOsPnO,1730,Néel,9.5,False,2
BaRh2P2,1731,Curie,1.0,False,1
Fe7C3,1732,Néel,523.0,False,2
Mn2GeTe4,1733,Néel,30.0,False,3
Tantalum,1734,Curie,525.0,False,1
Sr2CoMoO6,1735,Néel,132.66666666666666,False,12
YFe2,1736,Curie,543.75,False,4
Polyporphyrin,1737,Curie,187.0,False,1
Sr2V3O9,1738,Néel,5.0,False,2
TiFe6Ge6,1739,Néel,510.0,False,2
HoFeO3,1740,Néel,425.8333333333333,False,6
LaMn2O5,1741,Néel,200.0,False,2
Rb2Cr8O16,1742,Curie,295.0,False,1
Nd14Fe79B7,1743,Curie,1.0,False,1
Nd60Fe30Al10,1744,Curie,362.25,False,16
HoTiSi,1745,Néel,50.0,False,6
Sm2MgIrO6,1746,Néel,15.0,False,1
CeGe2,1747,Néel,7.0,False,1
HoAs,1748,Néel,5.0,False,1
GdRhSn,1749,Néel,10.0,False,5
Ba2SmReO6,1750,Néel,82.0,False,2
BiCoPO5,1751,Néel,16.0,False,1
LaAlO3,1752,Curie,464.1666666666667,False,6
K3Li2Ta5O15,1753,Curie,7.0,False,1
Er6Mo4Al43,1754,Néel,2.0,False,3
Ukraine,1755,Curie,876.3333333333334,False,6
BaYb2O4,1756,Néel,98.25,False,8
Gd2Fe17H3,1757,Curie,630.0,False,1
GdNi3FeSi,1758,Curie,168.0,False,1
YBaCo4O7,1759,Curie,82.0,False,3
Eu4O3N,1760,Curie,69.0,False,1
Ta,1761,Curie,436.15384615384613,False,13
TbFe11Ti,1762,Curie,560.0,False,1
PrFe2,1763,Curie,297.0,False,2
NiFeCoCrPdx,1764,Curie,225.0,False,1
Ni50Mn35In12Si3,1765,Curie,274.0,False,1
Fe50Ni30Si20,1766,Curie,610.0,False,2
SmCo2Ge2,1767,Curie,3.0,False,2
Y2Co5Cu2B3,1768,Curie,164.0,False,1
HoRhGa,1769,Néel,4.0,False,3
TbB2,1770,Curie,144.0,False,1
